#horario,Curso,ID Liga,NRC,Día,Hora Inicio,Hora Fin,Docente
42,ISIA-110,L3,11531,VIE,07:55,08:45,ABANTO CABRERA HEBER GERSON
42,ISIA-110,L3,11531,VIE,08:50,09:40,ABANTO CABRERA HEBER GERSON
42,ISIA-110,L3,11531,VIE,09:45,10:35,ABANTO CABRERA HEBER GERSON
42,ISIA-113,T1,9619,MAR,18:00,18:50,CUEVA CHAVEZ WALTER MANUEL
42,ISIA-113,T1,9619,MAR,18:55,19:45,CUEVA CHAVEZ WALTER MANUEL
42,ISIA-111,L1,9635,LUN,18:00,18:50,CABALLERO ALVARADO ARMANDO JAVIER
42,ISIA-111,L1,9635,LUN,18:55,19:45,CABALLERO ALVARADO ARMANDO JAVIER
43,ISIA-109,T1,9560,JUE,14:20,15:10,VASQUEZ PEREYRA JOSE HUMBERTO
43,ISIA-109,T1,9560,JUE,15:15,16:05,VASQUEZ PEREYRA JOSE HUMBERTO
43,ISIA-110,L3,11531,VIE,07:00,07:50,ABANTO CABRERA HEBER GERSON
43,ISIA-110,L3,11531,VIE,07:55,08:45,ABANTO CABRERA HEBER GERSON
43,ISIA-110,L3,11531,VIE,08:50,09:40,ABANTO CABRERA HEBER GERSON
43,ISIA-110,L3,11531,VIE,09:45,10:35,ABANTO CABRERA HEBER GERSON
43,ISIA-113,L1,9620,MAR,19:50,20:40,CUEVA CHAVEZ WALTER MANUEL
43,ISIA-113,L1,9620,MAR,20:45,21:35,CUEVA CHAVEZ WALTER MANUEL
43,ISIA-111,L1,12170,LUN,19:50,20:40,CABALLERO ALVARADO ARMANDO JAVIER
43,ISIA-111,L1,12170,LUN,20:45,21:35,CABALLERO ALVARADO ARMANDO JAVIER
44,ISIA-109,T1,9560,JUE,14:20,15:10,VASQUEZ PEREYRA JOSE HUMBERTO
44,ISIA-109,T1,9560,JUE,15:15,16:05,VASQUEZ PEREYRA JOSE HUMBERTO
44,ISIA-110,L3,11531,VIE,07:00,07:50,ABANTO CABRERA HEBER GERSON
44,ISIA-110,L3,11531,VIE,07:55,08:45,ABANTO CABRERA HEBER GERSON
44,ISIA-110,L3,11531,VIE,08:50,09:40,ABANTO CABRERA HEBER GERSON
44,ISIA-110,L3,11531,VIE,09:45,10:35,ABANTO CABRERA HEBER GERSON
44,ISIA-113,L1,9620,MAR,19:50,20:40,CUEVA CHAVEZ WALTER MANUEL
44,ISIA-113,L1,9620,MAR,20:45,21:35,CUEVA CHAVEZ WALTER MANUEL
44,ISIA-111,T1,9634,LUN,16:10,17:00,CABALLERO ALVARADO ARMANDO JAVIER
44,ISIA-111,T1,9634,LUN,17:05,17:55,CABALLERO ALVARADO ARMANDO JAVIER
45,ISIA-109,T1,9560,JUE,14:20,15:10,VASQUEZ PEREYRA JOSE HUMBERTO
45,ISIA-109,T1,9560,JUE,15:15,16:05,VASQUEZ PEREYRA JOSE HUMBERTO
45,ISIA-110,L3,11531,VIE,07:00,07:50,ABANTO CABRERA HEBER GERSON
45,ISIA-110,L3,11531,VIE,07:55,08:45,ABANTO CABRERA HEBER GERSON
45,ISIA-110,L3,11531,VIE,08:50,09:40,ABANTO CABRERA HEBER GERSON
45,ISIA-110,L3,11531,VIE,09:45,10:35,ABANTO CABRERA HEBER GERSON
45,ISIA-113,L1,9620,MAR,19:50,20:40,CUEVA CHAVEZ WALTER MANUEL
45,ISIA-113,L1,9620,MAR,20:45,21:35,CUEVA CHAVEZ WALTER MANUEL
45,ISIA-111,L1,9635,LUN,18:00,18:50,CABALLERO ALVARADO ARMANDO JAVIER
45,ISIA-111,L1,9635,LUN,18:55,19:45,CABALLERO ALVARADO ARMANDO JAVIER
46,ISIA-109,T1,9560,JUE,14:20,15:10,VASQUEZ PEREYRA JOSE HUMBERTO
46,ISIA-109,T1,9560,JUE,15:15,16:05,VASQUEZ PEREYRA JOSE HUMBERTO
46,ISIA-110,L3,11531,VIE,07:00,07:50,ABANTO CABRERA HEBER GERSON
46,ISIA-110,L3,11531,VIE,07:55,08:45,ABANTO CABRERA HEBER GERSON
46,ISIA-110,L3,11531,VIE,08:50,09:40,ABANTO CABRERA HEBER GERSON
46,ISIA-110,L3,11531,VIE,09:45,10:35,ABANTO CABRERA HEBER GERSON
46,ISIA-113,T2,9622,MIE,18:00,18:50,CUEVA CHAVEZ WALTER MANUEL
46,ISIA-113,T2,9622,MIE,18:55,19:45,CUEVA CHAVEZ WALTER MANUEL
46,ISIA-111,L1,12170,LUN,19:50,20:40,CABALLERO ALVARADO ARMANDO JAVIER
46,ISIA-111,L1,12170,LUN,20:45,21:35,CABALLERO ALVARADO ARMANDO JAVIER
47,ISIA-109,T1,9560,JUE,14:20,15:10,VASQUEZ PEREYRA JOSE HUMBERTO
47,ISIA-109,T1,9560,JUE,15:15,16:05,VASQUEZ PEREYRA JOSE HUMBERTO
47,ISIA-110,L3,11531,VIE,07:00,07:50,ABANTO CABRERA HEBER GERSON
47,ISIA-110,L3,11531,VIE,07:55,08:45,ABANTO CABRERA HEBER GERSON
47,ISIA-110,L3,11531,VIE,08:50,09:40,ABANTO CABRERA HEBER GERSON
47,ISIA-110,L3,11531,VIE,09:45,10:35,ABANTO CABRERA HEBER GERSON
47,ISIA-113,T2,9622,MIE,18:00,18:50,CUEVA CHAVEZ WALTER MANUEL
47,ISIA-113,T2,9622,MIE,18:55,19:45,CUEVA CHAVEZ WALTER MANUEL
47,ISIA-111,T1,9634,LUN,16:10,17:00,CABALLERO ALVARADO ARMANDO JAVIER
47,ISIA-111,T1,9634,LUN,17:05,17:55,CABALLERO ALVARADO ARMANDO JAVIER
