#horario,Curso,ID Liga,NRC,Día,Hora Inicio,Hora Fin,Docente
27,ISIA-110,T3,11530,LUN,07:55,08:45,ABANTO CABRERA HEBER GERSON
27,ISIA-113,T1,9619,MAR,18:00,18:50,CUEVA CHAVEZ WALTER MANUEL
27,ISIA-113,T1,9619,MAR,18:55,19:45,CUEVA CHAVEZ WALTER MANUEL
27,ISIA-111,L1,9635,LUN,18:00,18:50,CABALLERO ALVARADO ARMANDO JAVIER
27,ISIA-111,L1,9635,LUN,18:55,19:45,CABALLERO ALVARADO ARMANDO JAVIER
28,ISIA-109,T1,9560,JUE,14:20,15:10,VASQUEZ PEREYRA JOSE HUMBERTO
28,ISIA-109,T1,9560,JUE,15:15,16:05,VASQUEZ PEREYRA JOSE HUMBERTO
28,ISIA-110,T3,11530,LUN,07:00,07:50,ABANTO CABRERA HEBER GERSON
28,ISIA-110,T3,11530,LUN,07:55,08:45,ABANTO CABRERA HEBER GERSON
28,ISIA-113,L1,9620,MAR,19:50,20:40,CUEVA CHAVEZ WALTER MANUEL
28,ISIA-113,L1,9620,MAR,20:45,21:35,CUEVA CHAVEZ WALTER MANUEL
28,ISIA-111,L1,12170,LUN,19:50,20:40,CABALLERO ALVARADO ARMANDO JAVIER
28,ISIA-111,L1,12170,LUN,20:45,21:35,CABALLERO ALVARADO ARMANDO JAVIER
29,ISIA-109,T1,9560,JUE,14:20,15:10,VASQUEZ PEREYRA JOSE HUMBERTO
29,ISIA-109,T1,9560,JUE,15:15,16:05,VASQUEZ PEREYRA JOSE HUMBERTO
29,ISIA-110,T3,11530,LUN,07:00,07:50,ABANTO CABRERA HEBER GERSON
29,ISIA-110,T3,11530,LUN,07:55,08:45,ABANTO CABRERA HEBER GERSON
29,ISIA-113,L1,9620,MAR,19:50,20:40,CUEVA CHAVEZ WALTER MANUEL
29,ISIA-113,L1,9620,MAR,20:45,21:35,CUEVA CHAVEZ WALTER MANUEL
29,ISIA-111,T1,9634,LUN,16:10,17:00,CABALLERO ALVARADO ARMANDO JAVIER
